Transaction_ID,Date_Created,Subscription_Type,Negotiation_Success_Prob,User_Feedback, Monthly_Fee_USD 
TRX-99481,,spotify,,Spaces at the beginning, $45.16 
TRX-83973,03/01/2026,netflix,0.283400629,Stop charging me., $44.83 
TRX-55621,,internet provider,0.884959833,Stop charging me., $46.38 
TRX-27302,03/01/2026,electricity bill,0.0085,, $106.99 
TRX-13865,,gym membership,0.0085,Stop charging me., $128.64 
TRX-31825,,spotify,,It's too expensive!!!, $13.33 
TRX-84840,03/01/2026,gym membership,0.9,, $46.46 
TRX-63352,04/01/2026,gym membership,,It's too expensive!!!, $69.75 
TRX-6701,,gym membership,0.9,Negotiation needed ASAP, $66.51 
TRX-95850,03/01/2026,gym membership,0.085806222,, $6.56 
TRX-76724,,internet provider,0.0085,It's too expensive!!!, $107.38 
TRX-72943,,electricity bill,0.0085,Negotiation needed ASAP, $89.26 
TRX-47539,,netflix,,Stop charging me., $9.18 
TRX-79874,,cloud storage,,Negotiation needed ASAP, $83.53 
TRX-49632,,spotify,0.376051781,Spaces at the beginning, $120.37 
TRX-80550,,spotify,0.0085,Spaces at the beginning, $69.55 
TRX-75610,03/01/2026,internet provider,0.0085,Spaces at the beginning, $54.00 
TRX-85108,07/10/2025,internet provider,0.189174649,Negotiation needed ASAP, $66.70 
TRX-15612,03/01/2026,netflix,0.9,It's too expensive!!!, $12.82 
TRX-32328,03/01/2026,spotify,,Stop charging me., $45.16 
TRX-57878,,internet provider,0.875321069,Spaces at the beginning, $77.84 
TRX-92762,,cloud storage,0.9,It's too expensive!!!, $43.01 
TRX-55449,12/06/2025,electricity bill,0.10358886,Spaces at the beginning, $118.33 
TRX-97792,,spotify,0.9,It's too expensive!!!, $3.95 
TRX-88644,,internet provider,,Stop charging me., $92.68 
TRX-19443,,netflix,0.9,Negotiation needed ASAP, $8.00 
TRX-74497,01/03/2026,gym membership,0.797322981,Spaces at the beginning, $4.29 
TRX-2984,,electricity bill,0.0085,Stop charging me., $38.51 
TRX-89157,09/08/2025,internet provider,0.0085,, $5.88 
TRX-69130,,netflix,0.0085,Negotiation needed ASAP, $37.44 
TRX-47608,,gym membership,0.9,Stop charging me., $128.69 
TRX-39885,,gym membership,,Stop charging me., $12.95 
TRX-44129,,spotify,0.509887599,Spaces at the beginning, $11.95 
TRX-80440,03/01/2026,gym membership,0.2526119,Stop charging me., $46.46 
TRX-3647,,internet provider,0.9,Spaces at the beginning, $46.38 
TRX-36950,,electricity bill,,, $35.10 
TRX-38329,,netflix,0.9,Spaces at the beginning, $7.11 
TRX-28087,,spotify,,, $4.24 
TRX-87377,,cloud storage,0.631981711,It's too expensive!!!, $43.01 
TRX-92176,03/01/2026,electricity bill,0.556682096,Spaces at the beginning, $10.25 
TRX-37484,03/01/2026,internet provider,0.9,Spaces at the beginning, $46.38 
TRX-44228,,gym membership,0.9,Stop charging me., $6.06 
TRX-65688,,netflix,,, $94.87 
TRX-81217,,electricity bill,0.513345519,, $18.65 
TRX-84342,,gym membership,,It's too expensive!!!, $66.47 
TRX-44619,11/01/2025,electricity bill,,, $61.62 
TRX-82926,,netflix,0.0085,It's too expensive!!!, $62.87 
TRX-42664,,netflix,0.9,, $12.87 
TRX-29812,,cloud storage,0.130322918,Negotiation needed ASAP, $3.76 
TRX-98447,,netflix,,Negotiation needed ASAP, $131.57 
TRX-45903,03/01/2026,spotify,0.9,Negotiation needed ASAP, $91.63 
TRX-42895,,electricity bill,0.549279682,It's too expensive!!!, $27.62 
TRX-87883,,gym membership,0.097656591,It's too expensive!!!, $46.46 
TRX-50969,,gym membership,0.9,It's too expensive!!!, $111.40 
TRX-68490,,spotify,,It's too expensive!!!, $3.78 
TRX-95605,,electricity bill,0.446902493,It's too expensive!!!, $38.51 
TRX-27273,,netflix,0.9,It's too expensive!!!, $5.71 
TRX-80096,,cloud storage,0.103567828,, $133.87 
TRX-37255,03/01/2026,spotify,0.9,Spaces at the beginning, $45.16 
TRX-69942,03/01/2026,spotify,0.511169527,, $20.11 
TRX-18214,,spotify,0.137889854,It's too expensive!!!, $4.75 
TRX-92271,,gym membership,0.951555326,, $30.78 
TRX-66908,,internet provider,0.986729675,Negotiation needed ASAP, $119.75 
TRX-38353,,gym membership,0.0085,, $46.46 
TRX-84534,,spotify,0.0085,It's too expensive!!!, $5.94 
TRX-28600,,cloud storage,,Spaces at the beginning, $6.61 
TRX-68102,05/06/2025,electricity bill,0.9,It's too expensive!!!, $3.62 
TRX-99965,,electricity bill,0.841338197,It's too expensive!!!, $142.10 
TRX-86711,,netflix,,Stop charging me., $69.34 
TRX-42946,,internet provider,0.168854353,It's too expensive!!!, $145.98 
TRX-97371,,spotify,,Negotiation needed ASAP, $9.22 
TRX-77418,,spotify,0.785822185,Spaces at the beginning, $123.24 
TRX-4633,01/12/2026,internet provider,,It's too expensive!!!, $11.22 
TRX-65400,03/01/2026,cloud storage,0.0085,It's too expensive!!!, $12.15 
TRX-23830,08/07/2025,netflix,0.030311608,Stop charging me., $44.83 
TRX-82497,03/01/2026,spotify,0.9,It's too expensive!!!, $45.16 
TRX-93322,,electricity bill,0.0085,Spaces at the beginning, $9.22 
TRX-66429,,netflix,0.0085,Spaces at the beginning, $44.83 
TRX-24530,03/01/2026,gym membership,0.9,Stop charging me., $5.19 
TRX-11386,03/01/2026,gym membership,,Spaces at the beginning, $69.57 
TRX-9641,,spotify,0.9,Negotiation needed ASAP, $11.43 
TRX-87308,,netflix,0.0085,It's too expensive!!!, $133.24 
TRX-12385,03/01/2026,netflix,0.9,, $45.92 
TRX-40594,07/06/2025,gym membership,,Spaces at the beginning, $66.90 
TRX-64575,,cloud storage,0.9,It's too expensive!!!, $98.92 
TRX-15349,,spotify,0.9,, $47.79 
TRX-97514,,electricity bill,0.9,It's too expensive!!!, $144.48 
TRX-97173,03/01/2026,spotify,,, $126.89 
TRX-97050,,gym membership,0.9,It's too expensive!!!, $129.43 
TRX-41250,,internet provider,,Spaces at the beginning, $46.38 
TRX-62451,,electricity bill,0.0085,Spaces at the beginning, $117.99 
TRX-92674,03/01/2026,netflix,0.0085,, $18.85 
TRX-58643,03/01/2026,netflix,0.9,It's too expensive!!!, $6.23 
TRX-42055,,spotify,,Spaces at the beginning, $15.53 
TRX-21961,03/01/2026,netflix,0.0085,Spaces at the beginning, $20.86 
TRX-81542,03/01/2026,cloud storage,0.0085,It's too expensive!!!, $97.48 
TRX-32665,,internet provider,0.9,Negotiation needed ASAP, $46.38 
TRX-97760,,internet provider,,Stop charging me., $69.12 
TRX-67554,03/01/2026,spotify,,Stop charging me., $45.16 
TRX-21740,,cloud storage,0.0085,Negotiation needed ASAP, $123.76 
TRX-75401,03/01/2026,gym membership,0.0085,, $9.33 
TRX-23954,,netflix,0.0085,Negotiation needed ASAP, $44.83 
TRX-1033,,electricity bill,,, $97.34 
TRX-76445,,netflix,0.0085,Stop charging me., $31.01 
TRX-38277,03/01/2026,electricity bill,0.9,Negotiation needed ASAP, $11.75 
TRX-96036,,gym membership,0.506406213,Negotiation needed ASAP, $46.46 
TRX-30155,,spotify,,, $113.40 
TRX-88804,03/01/2026,cloud storage,0.9,Spaces at the beginning, $17.73 
TRX-35189,,internet provider,0.717349444,Stop charging me., $46.38 
TRX-97874,,spotify,0.956301261,Spaces at the beginning, $45.16 
TRX-81494,,electricity bill,,, $4.32 
TRX-38137,,netflix,,Spaces at the beginning, $44.83 
TRX-96615,11/06/2025,internet provider,,Negotiation needed ASAP, $13.47 
TRX-44708,03/01/2026,electricity bill,,, $38.51 
TRX-68087,,electricity bill,0.063092961,Spaces at the beginning, $88.64 
TRX-1899,03/01/2026,cloud storage,0.130856111,Spaces at the beginning, $11.51 
TRX-96908,03/01/2026,gym membership,0.0085,, $12.02 
TRX-4942,,electricity bill,0.0085,, $9.74 
TRX-69435,03/01/2026,electricity bill,0.9,Spaces at the beginning, $38.51 
TRX-9221,,electricity bill,,Stop charging me., $132.89 
TRX-82384,03/01/2026,netflix,0.9,Spaces at the beginning, $44.83 
TRX-79285,,gym membership,0.479403071,Negotiation needed ASAP, $114.38 
TRX-90944,,spotify,0.9,Stop charging me., $4.58 
TRX-92659,,internet provider,0.137775347,It's too expensive!!!, $61.99 
TRX-5044,,gym membership,,Spaces at the beginning, $140.12 
TRX-76358,,cloud storage,0.9,Negotiation needed ASAP, $43.01 
TRX-67687,03/01/2026,electricity bill,,Stop charging me., $129.36 
TRX-34066,,gym membership,0.9,Stop charging me., $29.72 
TRX-90627,,cloud storage,,It's too expensive!!!, $73.82 
TRX-17124,06/12/2025,electricity bill,0.9,Negotiation needed ASAP, $58.19 
TRX-99150,,netflix,0.0085,Stop charging me., $141.08 
TRX-50645,03/01/2026,spotify,0.068363622,Spaces at the beginning, $108.44 
TRX-23973,,electricity bill,0.0085,Negotiation needed ASAP, $67.54 
TRX-91268,03/01/2026,internet provider,0.9,Negotiation needed ASAP, $46.38 
TRX-80841,,spotify,0.0085,, $83.11 
TRX-28589,,spotify,0.786723327,Spaces at the beginning, $41.82 
TRX-3406,03/01/2026,netflix,0.0085,Spaces at the beginning, $58.25 
TRX-76887,05/08/2025,spotify,0.405560752,Stop charging me., $4.23 
TRX-83153,,netflix,0.762877153,, $132.84 
TRX-46954,03/01/2026,gym membership,0.9,Spaces at the beginning, $5.52 
TRX-27613,06/12/2025,internet provider,,Negotiation needed ASAP, $9.25 
TRX-8616,,gym membership,,Spaces at the beginning, $146.50 
TRX-22300,10/10/2025,internet provider,0.9,, $46.35 
TRX-2962,,netflix,0.501711583,Negotiation needed ASAP, $83.56 
TRX-99412,,netflix,0.9,It's too expensive!!!, $8.10 
TRX-86670,,netflix,0.9,, $12.48 
TRX-10724,,gym membership,0.9,It's too expensive!!!, $46.46 
TRX-26562,,cloud storage,0.191450391,Negotiation needed ASAP, $5.07 
TRX-47466,,electricity bill,0.604993439,, $47.44 
TRX-58683,03/01/2026,electricity bill,0.0085,, $38.51 
TRX-85942,,internet provider,0.9,Stop charging me., $9.81 
TRX-42155,,gym membership,,Negotiation needed ASAP, $13.42 
TRX-68390,,spotify,0.588525349,It's too expensive!!!, $7.09 
TRX-32759,,electricity bill,0.0085,, $36.18 
TRX-25198,,gym membership,0.0085,Negotiation needed ASAP, $46.46 
TRX-59438,,cloud storage,,Spaces at the beginning, $147.67 
TRX-36755,,electricity bill,,It's too expensive!!!, $38.51 
TRX-6313,03/01/2026,spotify,0.9,Negotiation needed ASAP, $15.93 
TRX-65555,,netflix,0.509418377,Stop charging me., $12.41 
TRX-20158,,spotify,0.9,, $45.16 
TRX-79234,,internet provider,,Stop charging me., $46.38 
TRX-79359,,cloud storage,0.9,, $4.41 
TRX-30720,,electricity bill,0.0085,Negotiation needed ASAP, $144.18 
TRX-74635,08/10/2025,spotify,,Spaces at the beginning, $104.34 
TRX-90013,03/01/2026,gym membership,0.210571964,Spaces at the beginning, $54.60 
TRX-34845,,internet provider,0.154149199,Spaces at the beginning, $96.07 
TRX-32726,,electricity bill,,It's too expensive!!!, $12.76 
TRX-96861,,spotify,0.9,Stop charging me., $81.66 
TRX-81433,,gym membership,0.6204158,Stop charging me., $4.26 
TRX-11734,,netflix,0.06999246,, $44.83 
TRX-74966,,gym membership,,Negotiation needed ASAP, $9.51 
TRX-3961,,cloud storage,0.804381515,Negotiation needed ASAP, $43.01 
TRX-66348,09/08/2025,spotify,0.0085,Stop charging me., $8.63 
TRX-79942,,gym membership,0.566987237,Spaces at the beginning, $46.46 
TRX-33824,03/01/2026,gym membership,0.9,Negotiation needed ASAP, $22.63 
TRX-98466,03/01/2026,electricity bill,,It's too expensive!!!, $6.56 
TRX-53427,03/01/2026,internet provider,,It's too expensive!!!, $22.25 
TRX-5779,,cloud storage,0.9,, $43.01 
TRX-13924,03/01/2026,netflix,,Spaces at the beginning, $26.02 
TRX-20828,,netflix,0.0085,Spaces at the beginning, $3.88 
TRX-32747,,spotify,0.0085,, $64.35 
TRX-76058,,gym membership,0.864303052,Spaces at the beginning, $73.18 
TRX-43109,,spotify,,Negotiation needed ASAP, $29.73 
TRX-19410,,spotify,0.0085,Negotiation needed ASAP, $45.16 
TRX-42729,,internet provider,0.645605936,Stop charging me., $73.10 
TRX-3086,03/01/2026,gym membership,0.055422928,, $96.60 
TRX-85794,,internet provider,,Negotiation needed ASAP, $98.25 
TRX-47591,10/03/2025,electricity bill,0.0085,Stop charging me., $38.51 
TRX-74834,,spotify,,, $45.16 
TRX-82615,03/01/2026,cloud storage,0.9,Spaces at the beginning, $9.52 
TRX-59069,03/01/2026,netflix,0.964325192,It's too expensive!!!, $5.43 
TRX-94897,,netflix,0.9,Stop charging me., $64.58 
TRX-76656,03/01/2026,cloud storage,0.0085,It's too expensive!!!, $136.95 
TRX-27381,,netflix,0.9,, $5.83 
TRX-70626,,spotify,0.9,It's too expensive!!!, $8.75 
TRX-85197,,netflix,0.9,Stop charging me., $119.57 
TRX-50872,03/01/2026,netflix,0.646071822,Spaces at the beginning, $44.83 
TRX-48392,03/01/2026,cloud storage,,Spaces at the beginning, $43.01 
TRX-48441,,spotify,0.0085,Spaces at the beginning, $45.16 
TRX-53789,,cloud storage,0.0085,Stop charging me., $43.01 
TRX-64395,10/10/2025,cloud storage,,, $75.41 
TRX-74137,,spotify,0.585986459,, $119.25 
TRX-40626,,electricity bill,0.9,, $61.11 
TRX-19243,,spotify,0.348154574,Stop charging me., $45.16 
TRX-90049,,netflix,0.402775186,It's too expensive!!!, $44.83 
TRX-52270,03/01/2026,internet provider,,Stop charging me., $46.83 
TRX-62676,,gym membership,0.620813415,Spaces at the beginning, $4.57 
TRX-3940,,cloud storage,0.05761797,Negotiation needed ASAP, $38.32 
TRX-34309,03/01/2026,electricity bill,0.9,It's too expensive!!!, $3.37 
TRX-73560,03/01/2026,cloud storage,,, $94.34 
TRX-2374,,netflix,0.914485062,Stop charging me., $140.77 
TRX-49193,03/01/2026,netflix,0.9,Negotiation needed ASAP, $44.83 
TRX-21473,,electricity bill,0.0085,Spaces at the beginning, $75.18 
TRX-52052,09/06/2025,spotify,0.270582558,Spaces at the beginning, $45.16 
TRX-8706,,electricity bill,,Spaces at the beginning, $13.05 
TRX-29045,07/04/2025,spotify,0.0085,It's too expensive!!!, $118.77 
TRX-87062,,electricity bill,0.0085,Spaces at the beginning, $7.24 
TRX-51868,03/01/2026,spotify,,, $45.16 
TRX-31019,,cloud storage,0.338808556,Spaces at the beginning, $3.41 
TRX-52675,03/01/2026,electricity bill,0.101360516,, $131.27 
TRX-42425,,cloud storage,0.9,Negotiation needed ASAP, $77.97 
TRX-44064,03/01/2026,cloud storage,,Negotiation needed ASAP, $129.35 
TRX-5560,,internet provider,,Stop charging me., $4.54 
TRX-14158,03/01/2026,cloud storage,0.9,Spaces at the beginning, $43.01 
TRX-3576,,gym membership,,Negotiation needed ASAP, $46.46 
TRX-40337,,netflix,0.676726562,, $19.36 
TRX-10021,,gym membership,,Spaces at the beginning, $39.55 
TRX-80196,,netflix,0.384989338,Stop charging me., $13.48 
TRX-15733,03/01/2026,electricity bill,,Stop charging me., $8.91 
TRX-83342,,gym membership,,Negotiation needed ASAP, $138.93 
TRX-8531,,cloud storage,0.9,Spaces at the beginning, $63.08 
TRX-81371,,cloud storage,0.0085,Stop charging me., $107.44 
TRX-20522,03/01/2026,netflix,0.9,Stop charging me., $85.46 
TRX-92418,,cloud storage,0.44370445,Spaces at the beginning, $5.09 
TRX-98277,,cloud storage,0.9,, $43.01 
TRX-16248,03/01/2026,cloud storage,0.611778709,, $6.97 
TRX-53872,,cloud storage,,, $43.01 
TRX-3335,,spotify,0.9,Negotiation needed ASAP, $8.95 
TRX-1135,07/05/2025,cloud storage,0.9,Negotiation needed ASAP, $90.58 
TRX-52695,,gym membership,,Spaces at the beginning, $106.23 
TRX-66853,,cloud storage,0.0085,Negotiation needed ASAP, $19.69 
TRX-42080,,cloud storage,0.479611054,Negotiation needed ASAP, $43.01 
TRX-4148,12/09/2025,netflix,0.749941763,Stop charging me., $4.11 
TRX-50734,,electricity bill,0.116205694,Spaces at the beginning, $41.49 
TRX-60103,03/01/2026,spotify,0.0085,Spaces at the beginning, $114.79 
TRX-33266,,internet provider,0.914503342,Stop charging me., $93.21 
TRX-22552,03/01/2026,gym membership,0.9,Stop charging me., $106.03 
TRX-22919,03/01/2026,internet provider,,Spaces at the beginning, $110.56 
TRX-64225,,gym membership,,Spaces at the beginning, $122.31 
TRX-15441,,cloud storage,0.627387971,Stop charging me., $129.16 
TRX-97043,,electricity bill,,Negotiation needed ASAP, $38.51 
TRX-40903,03/01/2026,electricity bill,,Negotiation needed ASAP, $38.51 
TRX-47379,,netflix,,It's too expensive!!!, $6.14 
TRX-52499,,internet provider,0.9,, $46.38 
TRX-34628,,electricity bill,0.327240553,Spaces at the beginning, $20.27 
TRX-49837,,gym membership,,Negotiation needed ASAP, $3.73 
TRX-22915,,gym membership,0.306474836,Stop charging me., $142.95 
TRX-16859,03/01/2026,spotify,0.023876748,, $45.16 
TRX-5652,,cloud storage,0.9,, $26.46 
TRX-58334,,spotify,0.0085,, $32.10 
TRX-50125,,internet provider,0.058615774,It's too expensive!!!, $52.97 
TRX-71071,,spotify,0.618328799,Negotiation needed ASAP, $45.16 
TRX-35352,03/01/2026,electricity bill,,Spaces at the beginning, $38.51 
TRX-76832,11/01/2025,internet provider,0.141723065,, $46.38 
TRX-23200,03/01/2026,spotify,0.9,Negotiation needed ASAP, $102.15 
TRX-2532,03/01/2026,netflix,,Negotiation needed ASAP, $33.71 
TRX-13077,,netflix,0.772466016,It's too expensive!!!, $44.83 
TRX-97893,03/01/2026,netflix,0.215390363,, $11.89 
TRX-3154,03/01/2026,internet provider,0.260755944,Spaces at the beginning, $46.38 
TRX-6552,,cloud storage,0.051233817,Stop charging me., $43.01 
TRX-3558,03/01/2026,gym membership,0.9,Stop charging me., $46.46 
TRX-94036,,netflix,0.660084228,Stop charging me., $21.51 
TRX-67473,,gym membership,,Negotiation needed ASAP, $46.46 
TRX-35270,,cloud storage,0.0085,Negotiation needed ASAP, $85.82 
TRX-32496,03/01/2026,electricity bill,0.9,It's too expensive!!!, $60.56 
TRX-18836,,netflix,0.9,, $44.83 
TRX-48342,,gym membership,0.828487633,It's too expensive!!!, $72.71 
TRX-22930,,gym membership,0.0085,Stop charging me., $89.87 
TRX-5559,08/08/2025,internet provider,,Negotiation needed ASAP, $19.01 
TRX-27489,03/01/2026,netflix,0.0085,Spaces at the beginning, $148.03 
TRX-32054,,spotify,0.0085,Spaces at the beginning, $45.16 
TRX-66931,,internet provider,0.288276039,, $100.73 
TRX-26878,03/01/2026,gym membership,0.0085,Spaces at the beginning, $88.90 
TRX-52145,,electricity bill,,Spaces at the beginning, $38.51 
TRX-12428,03/01/2026,spotify,0.9,Stop charging me., $101.85 
TRX-42191,,internet provider,,It's too expensive!!!, $8.09 
TRX-90242,,gym membership,0.329792159,, $94.76 
TRX-19145,,netflix,0.0085,It's too expensive!!!, $11.06 
TRX-23016,,netflix,0.391592885,Stop charging me., $44.83 
TRX-2972,03/01/2026,spotify,,Negotiation needed ASAP, $45.16 
TRX-48889,02/04/2026,internet provider,0.644094572,Stop charging me., $144.64 
TRX-69374,,internet provider,,Negotiation needed ASAP, $68.43 
TRX-68068,11/09/2025,cloud storage,,Negotiation needed ASAP, $26.08 
TRX-88582,,electricity bill,0.411951336,Spaces at the beginning, $38.51 
TRX-44315,,spotify,0.826282701,Spaces at the beginning, $95.97 
TRX-82479,,electricity bill,0.0085,, $38.51 
TRX-84392,06/12/2025,electricity bill,0.705466437,, $21.91 
TRX-93513,,cloud storage,0.170524161,, $118.59 
TRX-95995,,internet provider,0.9,It's too expensive!!!, $46.38 
TRX-54143,,internet provider,,, $10.69 
TRX-11469,,electricity bill,0.9,Stop charging me., $30.76 
TRX-5413,,spotify,0.9,, $57.73 
TRX-67850,03/01/2026,gym membership,0.883100985,Negotiation needed ASAP, $46.46 
TRX-47499,03/01/2026,spotify,0.9,Spaces at the beginning, $99.18 
TRX-54106,03/01/2026,internet provider,0.939014797,It's too expensive!!!, $32.53 
TRX-56964,03/01/2026,netflix,0.9,Stop charging me., $114.05 
TRX-70390,,gym membership,0.731784319,It's too expensive!!!, $62.28 
TRX-69072,03/01/2026,internet provider,0.526381164,, $43.83 
TRX-72632,,netflix,,, $19.00 
TRX-1642,03/01/2026,internet provider,0.006853755,Spaces at the beginning, $81.97 
TRX-81246,03/01/2026,internet provider,0.060536432,Stop charging me., $46.38 
TRX-17196,03/01/2026,netflix,,Stop charging me., $97.96 
TRX-82629,,spotify,0.9,Spaces at the beginning, $75.41 
TRX-14937,06/09/2025,netflix,0.29728691,Spaces at the beginning, $11.22 
TRX-79345,03/01/2026,spotify,,It's too expensive!!!, $45.16 
TRX-42761,12/09/2025,electricity bill,0.0085,Stop charging me., $75.41 
TRX-36938,,internet provider,,, $15.19 
TRX-13585,,cloud storage,0.024447087,Negotiation needed ASAP, $43.01 
TRX-80329,,gym membership,0.901953575,It's too expensive!!!, $46.46 
TRX-15099,,netflix,0.9,Spaces at the beginning, $116.31 
TRX-22710,,gym membership,,Spaces at the beginning, $46.46 
TRX-72960,,electricity bill,0.0085,Spaces at the beginning, $80.85 
TRX-16238,,electricity bill,0.849250027,, $10.54 
TRX-65504,,electricity bill,,Stop charging me., $6.63 
TRX-65798,05/07/2025,spotify,0.0085,It's too expensive!!!, $45.16 
TRX-22645,,gym membership,0.434963306,, $12.54 
TRX-26375,03/01/2026,internet provider,0.0085,, $8.62 
TRX-6694,03/01/2026,internet provider,0.825168441,It's too expensive!!!, $5.35 
TRX-66313,,electricity bill,0.9,It's too expensive!!!, $67.44 
TRX-27206,,netflix,0.9,It's too expensive!!!, $8.04 
TRX-70303,03/01/2026,electricity bill,0.0085,Spaces at the beginning, $5.81 
TRX-12765,,spotify,0.0085,Spaces at the beginning, $45.16 
TRX-96089,03/01/2026,internet provider,0.0085,Stop charging me., $12.53 
TRX-2378,03/01/2026,electricity bill,0.9,Stop charging me., $6.50 
TRX-27712,03/01/2026,electricity bill,0.208867848,Negotiation needed ASAP, $38.51 
TRX-8850,,spotify,,Spaces at the beginning, $45.16 
TRX-76989,03/01/2026,gym membership,,Stop charging me., $58.73 
TRX-54868,,cloud storage,0.0085,, $94.76 
TRX-25137,,internet provider,,It's too expensive!!!, $46.38 
TRX-50158,03/01/2026,spotify,0.9,Negotiation needed ASAP, $9.62 
TRX-52713,03/01/2026,electricity bill,0.0085,, $105.54 
TRX-80678,03/01/2026,electricity bill,0.0085,Spaces at the beginning, $5.89 
TRX-17796,,cloud storage,,It's too expensive!!!, $43.01 
TRX-45377,,netflix,0.026964383,, $26.70 
TRX-6320,03/01/2026,gym membership,0.0085,Spaces at the beginning, $49.62 
